id,vince,gregmat,magoosh,manhattan,prep_scholar,powerscore,greenlight_basic,greenlight_advanced
1,abase,abate,aberrant,abase,abate,abdicate,abash,abjure
2,abashed,abet,aberration,abate,aberrant,aberrant,abate,abrogate
3,abate,abhor,abjure,abdicate,abjure,abeyance,aberrant,abscission
4,aberration,abjure,aboveboard,aberrant,abscond,abjure,abject,acarpous
5,abeyance,abound,abrogate,abeyance,abstain,abstemious,abrasive,accession
6,abhors,abreast,abstain,abhor,acumen,abstruse,abscond,accolade
7,abject,abstain,abstruse,abjure,admonish,accretion,abstain,accretion
8,abnegate,accentuate,abysmal,abrasive,adulterate,acerbic,abysmal,acerbic
9,abomination,accessible,accolade,abreast,advocate,acidulous,acquiesce,acumen
10,aboriginal,acclaim,acerbic,abridge,aesthetic,acme,acrid,adroit
11,abort,acolyte,acme,abscission,affectation,acumen,adherent,adulation
12,abound,acquiesce,acrimony,abscond,aggrandize,adroit,admonish,adumbrate
13,abrasive,acquisitive,adamant,abstain,alacrity,aerie,adulterate,advent
14,abridge,acrimonious,adjudicate,abyss,alleviate,aesthetic,adversity,affective
15,abrogate,acumen,admonish,accede,amalgamate,affable,advocate,agape
16,abscission,admonish,admonitory,accretion,ambiguous,affected,aesthetic,agglutination
17,absolute,adroit,advocate,acerbic,ambivalent,aggrandize,affable,aggrandize
18,absolve,adulterate,aesthete,acidulous,ameliorate,alacrity,affectation,alacrity
19,abstemious,advocate,aesthetic,acme,amenable,alchemy,aggravate,alloy
20,abstruse,aesthetic,affable,activism,anachronism,amalgamation,aggregate,amity
21,abysmal,affectation,affluent,acumen,analogous,ameliorate,aghast,anachronistic
22,accede,affinity,afford,adhere,anoint,amenable,alchemy,anathema
23,accolade,aggrandize,alacrity,admonish,anomaly,amiable,allege,anodyne
24,accretion,alacrity,altruism,adulterate,antipathy,amortize,allusion,apex
25,accumulate,alienate,amalgam,adumbrate,antithetical,amulet,amalgamate,apocryphal
26,acerbic,alleviate,ambiguous,adverse,apathy,anachronistic,ambience,apogee
27,acidulous,allusive,ambivalent,advocate,appease,analgesic,ambiguous,apostate
28,acme,aloof,ameliorate,aerie,arbitrary,anodyne,ameliorate,apotheosis
29,acquisitive,altruistic,amenable,aesthetic,arcane,anthropocentrism,amenable,apposite
30,acrimonious,amalgamate,amiable,affable,archaic,antipathy,amiable,approbation
31,acumen,ambivalent,amorphous,affectation,arduous,apathy,amorous,appropriate
32,adamant,ameliorate,amply,aggrandize,articulate,apocryphal,amorphous,arabesque
33,adept,amenable,amuck,aggregate,artless,apostate,amortize,arrant
34,adequate,amend,anachronism,alacrity,ascetic,approbation,anarchy,artless
35,adhere,amorphous,analogous,albeit,assuage,archaic,ancillary,ascetic
36,admonished,anachronistic,anathema,alienate,astonishment,ardor,androgynous,asperity
37,adorned,analogous,anemic,alleviate,audacious,arrogate,anesthetic,aspersion
38,adroit,animus,animosity,aloof,austere,ascertain,animosity,assay
39,adulation,anoint,anodyne,amalgamate,avarice,ascetic,anomalous,asseverate
40,adulterate,anomalous,anomalous,ambiguous,aver,assail,anomaly,assiduous
41,adversary,antedate,anomaly,ambivalent,banal,assiduous,antecedent,astringent
42,advocate,antipathy,antedated,ameliorate,belie,assuage,anthology,attenuate
43,aegis,antithesis,antic,amortize,benign,attenuate,antipathy,attrition
44,aesthetic,apathy,antipathy,anachronism,biased,audacious,antithesis,augury
45,affable,apologist,antiquated,analgesia,bolster,augment,apprise,august
46,affectation,appease,antithetical,analogous,bombastic,augury,approbation,auspice
47,affiliated,approbation,apathetic,anarchy,brazen,august,arbitrary,auspicious
48,affront,apropos,apathy,annul,bucolic,auspicious,arcane,avarice
49,aggrandized,apt,apex,anodyne,burgeon,austere,archaic,axiomatic
50,aghast,arbitrary,aphorism,anoint,cacophony,autonomy,archetype,baleful
51,alacrity,arcane,aphoristic,anomaly,calumny,avarice,ardent,banal
52,algorithm,archaic,aplomb,antagonize,candid,avuncular,ardor,bane
53,alleviate,arduous,apocryphal,antedate,canon,axiom,arduous,beatify
54,allusion,arresting,apogee,antithetical,capacity,banal,arrest,bedizen
55,altruistic,artless,apostate,apathy,capricious,belfry,articulate,beget
56,amalgamate,ascertain,apothegm,apocryphal,castigate,benevolent,assimilate,bent
57,ambiguity,ascetic,apotheosis,apostate,catalyst,bevy,assuage,bilge
58,ambivalence,ascribe,appease,apostle,caustic,bifurcate,astute,blandish
59,ameliorated,assail,appreciable,apposite,censure,bilk,audacious,blithe
60,amenable,assertive,apprehension,apprise,chauvinist,blight,augment,brook
61,amicable,assuage,approbatory,approbation,chicanery,blithe,austere,byzantine
62,amortize,astringent,appropriate,appropriate,chronological,bombast,authoritarian,cabal
63,ample,astute,appurtenant,arbiter,coalesce,bonhomie,aver,cachinnate
64,anachronism,attenuate,arbitrary,arcane,cogent,boor,aversion,cacophony
65,analogue,audacious,arcane,archaic,commensurate,bromide,avid,cadge
66,anathema,augment,arch,ardent,compelling,bucolic,avow,cajole
67,anile,austere,archaic,arduous,comprehensive,burgeon,bedlam,calumniate
68,animosity,avaricious,arduous,arrogate,condone,burnish,belabor,calumny
69,annotation,aversion,arrant,articulate,confound,byzantine,beleaguer,canard
