eschew	deliberately avoid using; abstain from	he appealed to the crowd to eschew violence	 	 	 	 	abstain from, refrain from, give up, forgo, forswear, shun, renounce, swear off, abjure, steer clear of, have nothing to do with, give a wide berth to, fight shy of, relinquish, reject, dispense with, disavow, abandon, deny, gainsay, disclaim, repudiate, renege on, spurn, abnegate, abdicate, wash one's hands of, drop	[sound:eschew.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
opaque	not able to be seen through; not transparent	the windows were opaque with steam	technical jargon that was opaque to her	 	 	 	non-transparent, cloudy, filmy, blurred, smeared, hazy, misty, dirty, dingy, muddy, muddied, grimy, smeary, obscure, unclear, dense, uncertain, indeterminate, mysterious, puzzling, perplexing, baffling, mystifying, confusing, enigmatic, inexplicable, unexplained, concealed, hidden, unfathomable, incomprehensible, impenetrable, vague, ambiguous, Delphic, indefinite, indistinct, hazy, foggy, nebulous, equivocal, doubtful, dubious, oblique, elliptical, oracular, cryptic, deep, abstruse, recondite, arcane, esoteric, recherché	[sound:opaque.mp3]	prep_scholar greenlight_basic powerscore gregmat manhattan magoosh vince rank_7
ascetic	characterized by or suggesting the practice of severe self-discipline and abstention from all forms of indulgence, typically for religious reasons	an ascetic life of prayer, fasting, and manual labor	a narrow, humorless, ascetic face	 	 	 	austere, self-denying, abstinent, abstemious, non-indulgent, self-disciplined, frugal, simple, rigorous, strict, severe, hair-shirt, spartan, monastic, monkish, monklike, nunlike, abstainer, recluse, hermit, solitary, anchorite, anchoress, desert saint, celibate, puritan, nun, monk	[sound:ascetic.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
alacrity	brisk and cheerful readiness	she accepted the invitation with alacrity	 	 	 	 	eagerness, willingness, readiness	[sound:alacrity.mp3]	prep_scholar powerscore greenlight_advanced magoosh gregmat manhattan vince rank_7
meticulous	showing great attention to detail; very careful and precise	he had always been so meticulous about his appearance	 	 	 	 	careful, conscientious, diligent, ultra-careful, scrupulous, punctilious, painstaking, demanding, exacting, accurate, correct	[sound:meticulous.mp3]	prep_scholar greenlight_basic powerscore gregmat manhattan magoosh vince rank_7
archaic	very old or old-fashioned	prisons are run on archaic methods	a term with a rather archaic ring to it	the archaic temple at Corinth	 	 	obsolete, obsolescent, out of date, anachronistic, old-fashioned, outmoded, behind the times, bygone, antiquated, antique, superannuated, antediluvian, past its prime, having seen better days, olde worlde, old-fangled	[sound:archaic.mp3]	prep_scholar powerscore greenlight_basic gregmat manhattan magoosh vince rank_7
garrulous	excessively talkative, especially on trivial matters	Polonius is portrayed as a foolish, garrulous old man	 	 	 	 	talkative, loquacious, voluble, verbose, long-winded, chatty, chattery, chattering, gossipy, gossiping, babbling, blathering, prattling, prating, jabbering, gushing, effusive, expansive, forthcoming, conversational, communicative, long-winded, wordy, verbose, prolix, lengthy, prolonged	[sound:garrulous.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
austere	severe or strict in manner, attitude, or appearance	an austere man, with a rigidly puritanical outlook	an austere expression	conditions in the prison could hardly be more austere	the cathedral is impressive in its austere simplicity	 	severe, stern, strict, harsh, unfeeling, stony, steely, flinty, dour, grim, cold, frosty, frigid, icy, chilly, unemotional, unfriendly, formal, stiff, stuffy, reserved, remote, distant, aloof, forbidding, mean-looking, grave, solemn, serious, unsmiling, unsympathetic, unforgiving, uncharitable, strict, self-denying, self-abnegating, moderate, temperate, sober, simple, frugal, spartan, restrained, self-restrained, self-disciplined, non-indulgent, ascetic, puritanical, self-sacrificing, hair-shirt, abstemious, abstinent, celibate, chaste, continent, plain, simple, basic, functional, modest, unadorned, undecorated, unornamented, unembellished, unostentatious, unfurnished, uncluttered, unfussy, without frills, subdued, muted, restrained	[sound:austere.mp3]	prep_scholar powerscore greenlight_basic gregmat manhattan magoosh vince rank_7
soporific	tending to induce drowsiness or sleep	the motion of the train had a somewhat soporific effect	some medicine made her soporific	a libel trial is in large parts intensely soporific	 	 	sleep-inducing, somnolent, sedative, calmative, tranquillizing, narcotic, opiate, drowsy, sleepy, somniferous, sleeping pill, sleeping potion, sedative, calmative, tranquillizer, narcotic, opiate	[sound:soporific.mp3]	prep_scholar greenlight_advanced gregmat powerscore manhattan magoosh vince rank_7
demur	raise doubts or objections or show reluctance	normally she would have accepted the challenge, but she demurred	they accepted this ruling without demur	 	 	 	raise objections, object, take exception, take issue, protest, lodge a protest, cavil, dissent, objection, protest, protestation, complaint, dispute, dissent, carping, cavilling, recalcitrance, opposition, resistance	[sound:demur.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
